sales_date,GTIN,product_name,weekday_name,month_name,dominant_weather_type,dominant_temp_category,daily_sales_count,daily_sales_value
2019-01-24,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,THU,JAN,rainy,cool,72,287.28
2019-01-24,GTIN-8711918648606,Walls Feast Classic 90ml,THU,JAN,rainy,cool,93,185.07
2019-01-24,GTIN-8720000066784,Solero Exotic 90ml,THU,JAN,rainy,cool,72,143.28
2019-01-27,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,SUN,JAN,windy,cool,92,137.08
2019-01-27,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,SUN,JAN,windy,cool,91,135.59
2019-01-27,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,SUN,JAN,windy,cool,82,204.18
2019-01-27,GTIN-8000920461235,Calippo Cola 105ml,SUN,JAN,windy,cool,88,175.12
2019-01-27,GTIN-8711327313712,Magnum Vegan Classic 90ml,SUN,JAN,windy,cool,79,236.21
2019-01-27,GTIN-8711327319714,Cornetto Classico 120ml,SUN,JAN,windy,cool,62,247.38
2019-01-27,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,SUN,JAN,windy,cool,92,275.08
2019-01-27,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,SUN,JAN,windy,cool,72,287.28
2019-01-27,GTIN-8711918648606,Walls Feast Classic 90ml,SUN,JAN,windy,cool,68,135.32
2019-01-27,GTIN-8720000066784,Solero Exotic 90ml,SUN,JAN,windy,cool,69,137.31
2019-01-28,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,MON,JAN,rainy,cool,74,110.26
2019-01-28,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,MON,JAN,rainy,cool,88,131.12
2019-01-28,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,MON,JAN,rainy,cool,75,186.75
2019-01-28,GTIN-8000920461235,Calippo Cola 105ml,MON,JAN,rainy,cool,69,137.31
2019-01-28,GTIN-8711327313712,Magnum Vegan Classic 90ml,MON,JAN,rainy,cool,71,212.29
2019-01-28,GTIN-8711327319714,Cornetto Classico 120ml,MON,JAN,rainy,cool,66,263.34
2019-01-28,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,MON,JAN,rainy,cool,79,236.21
2019-01-28,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,MON,JAN,rainy,cool,64,255.36
2019-01-28,GTIN-8711918648606,Walls Feast Classic 90ml,MON,JAN,rainy,cool,69,137.31
2019-01-28,GTIN-8720000066784,Solero Exotic 90ml,MON,JAN,rainy,cool,76,151.24
2019-01-29,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,TUE,JAN,rainy,cool,81,120.69
2019-01-29,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,TUE,JAN,rainy,cool,80,119.2
2019-01-29,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,TUE,JAN,rainy,cool,75,186.75
2019-01-29,GTIN-8000920461235,Calippo Cola 105ml,TUE,JAN,rainy,cool,93,185.07
2019-01-29,GTIN-8711327313712,Magnum Vegan Classic 90ml,TUE,JAN,rainy,cool,67,200.33
2019-01-29,GTIN-8711327319714,Cornetto Classico 120ml,TUE,JAN,rainy,cool,72,287.28
2019-01-29,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,TUE,JAN,rainy,cool,77,230.23
2019-01-29,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,TUE,JAN,rainy,cool,66,263.34
2019-01-29,GTIN-8711918648606,Walls Feast Classic 90ml,TUE,JAN,rainy,cool,70,139.3
2019-01-29,GTIN-8720000066784,Solero Exotic 90ml,TUE,JAN,rainy,cool,66,131.34
2019-02-06,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,WED,FEB,windy,cool,101,150.49
2019-02-06,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,WED,FEB,windy,cool,93,138.57
2019-02-06,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,WED,FEB,windy,cool,119,296.31
2019-02-06,GTIN-8000920461235,Calippo Cola 105ml,WED,FEB,windy,cool,92,183.08
2019-02-06,GTIN-8711327313712,Magnum Vegan Classic 90ml,WED,FEB,windy,cool,73,218.27
2019-02-06,GTIN-8711327319714,Cornetto Classico 120ml,WED,FEB,windy,cool,58,231.42
2019-02-06,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,WED,FEB,windy,cool,76,227.24
2019-02-06,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,WED,FEB,windy,cool,73,291.27
2019-02-06,GTIN-8711918648606,Walls Feast Classic 90ml,WED,FEB,windy,cool,87,173.13
2019-02-06,GTIN-8720000066784,Solero Exotic 90ml,WED,FEB,windy,cool,86,171.14
2019-02-07,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,THU,FEB,windy,cool,96,143.04
2019-02-07,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,THU,FEB,windy,cool,76,113.24
2019-02-07,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,THU,FEB,windy,cool,81,201.69
2019-02-07,GTIN-8000920461235,Calippo Cola 105ml,THU,FEB,windy,cool,70,139.3
2019-02-07,GTIN-8711327313712,Magnum Vegan Classic 90ml,THU,FEB,windy,cool,82,245.18
2019-02-07,GTIN-8711327319714,Cornetto Classico 120ml,THU,FEB,windy,cool,61,243.39
2019-02-07,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,THU,FEB,windy,cool,72,215.28
2019-02-07,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,THU,FEB,windy,cool,74,295.26
2019-02-07,GTIN-8711918648606,Walls Feast Classic 90ml,THU,FEB,windy,cool,75,149.25
2019-02-07,GTIN-8720000066784,Solero Exotic 90ml,THU,FEB,windy,cool,76,151.24
2019-02-10,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,SUN,FEB,windy,cool,91,135.59
2019-02-10,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,SUN,FEB,windy,cool,82,122.18
2019-02-10,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,SUN,FEB,windy,cool,103,256.47
2019-02-10,GTIN-8000920461235,Calippo Cola 105ml,SUN,FEB,windy,cool,84,167.16
2019-02-10,GTIN-8711327313712,Magnum Vegan Classic 90ml,SUN,FEB,windy,cool,86,257.14
2019-02-10,GTIN-8711327319714,Cornetto Classico 120ml,SUN,FEB,windy,cool,67,267.33
2019-02-10,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,SUN,FEB,windy,cool,73,218.27
2019-02-10,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,SUN,FEB,windy,cool,72,287.28
2019-02-10,GTIN-8711918648606,Walls Feast Classic 90ml,SUN,FEB,windy,cool,89,177.11
2019-02-10,GTIN-8720000066784,Solero Exotic 90ml,SUN,FEB,windy,cool,68,135.32
2019-02-11,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,MON,FEB,rainy,cool,94,140.06
2019-02-11,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,MON,FEB,rainy,cool,94,140.06
2019-02-11,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,MON,FEB,rainy,cool,92,229.08
2019-02-11,GTIN-8000920461235,Calippo Cola 105ml,MON,FEB,rainy,cool,83,165.17
2019-02-11,GTIN-8711327313712,Magnum Vegan Classic 90ml,MON,FEB,rainy,cool,63,188.37
2019-02-11,GTIN-8711327319714,Cornetto Classico 120ml,MON,FEB,rainy,cool,64,255.36
2019-02-11,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,MON,FEB,rainy,cool,81,242.19
2019-02-11,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,MON,FEB,rainy,cool,75,299.25
2019-02-11,GTIN-8711918648606,Walls Feast Classic 90ml,MON,FEB,rainy,cool,86,171.14
2019-02-11,GTIN-8720000066784,Solero Exotic 90ml,MON,FEB,rainy,cool,77,153.23
2019-02-12,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,TUE,FEB,rainy,cool,88,131.12
2019-02-12,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,TUE,FEB,rainy,cool,99,147.51
2019-02-12,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,TUE,FEB,rainy,cool,75,186.75
2019-02-12,GTIN-8000920461235,Calippo Cola 105ml,TUE,FEB,rainy,cool,79,157.21
2019-02-12,GTIN-8711327313712,Magnum Vegan Classic 90ml,TUE,FEB,rainy,cool,62,185.38
2019-02-12,GTIN-8711327319714,Cornetto Classico 120ml,TUE,FEB,rainy,cool,66,263.34
2019-02-12,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,TUE,FEB,rainy,cool,79,236.21
2019-02-12,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,TUE,FEB,rainy,cool,60,239.4
2019-02-12,GTIN-8711918648606,Walls Feast Classic 90ml,TUE,FEB,rainy,cool,87,173.13
2019-02-12,GTIN-8720000066784,Solero Exotic 90ml,TUE,FEB,rainy,cool,70,139.3
2019-02-16,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,SAT,FEB,windy,cool,78,116.22
2019-02-16,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,SAT,FEB,windy,cool,101,150.49
2019-02-16,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,SAT,FEB,windy,cool,82,204.18
2019-02-16,GTIN-8000920461235,Calippo Cola 105ml,SAT,FEB,windy,cool,90,179.1
2019-02-16,GTIN-8711327313712,Magnum Vegan Classic 90ml,SAT,FEB,windy,cool,64,191.36
2019-02-16,GTIN-8711327319714,Cornetto Classico 120ml,SAT,FEB,windy,cool,69,275.31
2019-02-16,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,SAT,FEB,windy,cool,77,230.23
2019-02-16,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,SAT,FEB,windy,cool,53,211.47
2019-02-16,GTIN-8711918648606,Walls Feast Classic 90ml,SAT,FEB,windy,cool,86,171.14
2019-02-16,GTIN-8720000066784,Solero Exotic 90ml,SAT,FEB,windy,cool,75,149.25
2019-02-19,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,TUE,FEB,rainy,cool,93,138.57
2019-02-19,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,TUE,FEB,rainy,cool,79,117.71
2019-02-19,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,TUE,FEB,rainy,cool,94,234.06
2019-02-19,GTIN-8000920461235,Calippo Cola 105ml,TUE,FEB,rainy,cool,83,165.17
2019-02-19,GTIN-8711327313712,Magnum Vegan Classic 90ml,TUE,FEB,rainy,cool,73,218.27
2019-02-19,GTIN-8711327319714,Cornetto Classico 120ml,TUE,FEB,rainy,cool,61,243.39
2019-02-19,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,TUE,FEB,rainy,cool,68,203.32
2019-02-19,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,TUE,FEB,rainy,cool,69,275.31
2019-02-19,GTIN-8711918648606,Walls Feast Classic 90ml,TUE,FEB,rainy,cool,77,153.23
2019-02-19,GTIN-8720000066784,Solero Exotic 90ml,TUE,FEB,rainy,cool,84,167.16
2019-02-26,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,TUE,FEB,windy,cool,102,151.98
2019-02-26,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,TUE,FEB,windy,cool,94,140.06
2019-02-26,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,TUE,FEB,windy,cool,105,261.45
2019-02-26,GTIN-8000920461235,Calippo Cola 105ml,TUE,FEB,windy,cool,76,151.24
2019-02-26,GTIN-8711327313712,Magnum Vegan Classic 90ml,TUE,FEB,windy,cool,67,200.33
2019-02-26,GTIN-8711327319714,Cornetto Classico 120ml,TUE,FEB,windy,cool,77,307.23
2019-02-26,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,TUE,FEB,windy,cool,67,200.33
2019-02-26,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,TUE,FEB,windy,cool,66,263.34
2019-02-26,GTIN-8711918648606,Walls Feast Classic 90ml,TUE,FEB,windy,cool,96,191.04
2019-02-26,GTIN-8720000066784,Solero Exotic 90ml,TUE,FEB,windy,cool,88,175.12
2019-02-27,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,WED,FEB,windy,cool,102,151.98
2019-02-27,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,WED,FEB,windy,cool,111,165.39
2019-02-27,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,WED,FEB,windy,cool,105,261.45
2019-02-27,GTIN-8000920461235,Calippo Cola 105ml,WED,FEB,windy,cool,92,183.08
2019-02-27,GTIN-8711327313712,Magnum Vegan Classic 90ml,WED,FEB,windy,cool,74,221.26
2019-02-27,GTIN-8711327319714,Cornetto Classico 120ml,WED,FEB,windy,cool,67,267.33
2019-02-27,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,WED,FEB,windy,cool,65,194.35
2019-02-27,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,WED,FEB,windy,cool,83,331.17
2019-02-27,GTIN-8711918648606,Walls Feast Classic 90ml,WED,FEB,windy,cool,77,153.23
2019-02-27,GTIN-8720000066784,Solero Exotic 90ml,WED,FEB,windy,cool,80,159.2
2019-03-01,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,FRI,MAR,rainy,cool,85,126.65
2019-03-01,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,FRI,MAR,rainy,cool,89,132.61
2019-03-01,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,FRI,MAR,rainy,cool,98,244.02
2019-03-01,GTIN-8000920461235,Calippo Cola 105ml,FRI,MAR,rainy,cool,82,163.18
2019-03-01,GTIN-8711327313712,Magnum Vegan Classic 90ml,FRI,MAR,rainy,cool,78,233.22
2019-03-01,GTIN-8711327319714,Cornetto Classico 120ml,FRI,MAR,rainy,cool,68,271.32
2019-03-01,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,FRI,MAR,rainy,cool,66,197.34
2019-03-01,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,FRI,MAR,rainy,cool,87,347.13
2019-03-01,GTIN-8711918648606,Walls Feast Classic 90ml,FRI,MAR,rainy,cool,82,163.18
2019-03-01,GTIN-8720000066784,Solero Exotic 90ml,FRI,MAR,rainy,cool,73,145.27
2019-03-02,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,SAT,MAR,windy,cool,94,140.06
2019-03-02,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,SAT,MAR,windy,cool,93,138.57
2019-03-02,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,SAT,MAR,windy,cool,84,209.16
2019-03-02,GTIN-8000920461235,Calippo Cola 105ml,SAT,MAR,windy,cool,93,185.07
2019-03-02,GTIN-8711327313712,Magnum Vegan Classic 90ml,SAT,MAR,windy,cool,75,224.25
2019-03-02,GTIN-8711327319714,Cornetto Classico 120ml,SAT,MAR,windy,cool,73,291.27
2019-03-02,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,SAT,MAR,windy,cool,90,269.1
2019-03-02,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,SAT,MAR,windy,cool,71,283.29
2019-03-02,GTIN-8711918648606,Walls Feast Classic 90ml,SAT,MAR,windy,cool,72,143.28
2019-03-02,GTIN-8720000066784,Solero Exotic 90ml,SAT,MAR,windy,cool,77,153.23
2019-03-03,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,SUN,MAR,sunny,warm,778,1159.22
2019-03-03,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,SUN,MAR,sunny,warm,797,1187.53
2019-03-03,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,SUN,MAR,sunny,warm,772,1922.28
2019-03-03,GTIN-8000920461235,Calippo Cola 105ml,SUN,MAR,sunny,warm,652,1297.48
2019-03-03,GTIN-8711327313712,Magnum Vegan Classic 90ml,SUN,MAR,sunny,warm,604,1805.96
2019-03-03,GTIN-8711327319714,Cornetto Classico 120ml,SUN,MAR,sunny,warm,531,2118.69
2019-03-03,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,SUN,MAR,sunny,warm,629,1880.71
2019-03-03,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,SUN,MAR,sunny,warm,609,2429.91
2019-03-03,GTIN-8711918648606,Walls Feast Classic 90ml,SUN,MAR,sunny,warm,666,1325.34
2019-03-03,GTIN-8720000066784,Solero Exotic 90ml,SUN,MAR,sunny,warm,666,1325.34
2019-03-04,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,MON,MAR,sunny,warm,797,1187.53
2019-03-04,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,MON,MAR,sunny,warm,783,1166.67
2019-03-04,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,MON,MAR,sunny,warm,753,1874.97
2019-03-04,GTIN-8000920461235,Calippo Cola 105ml,MON,MAR,sunny,warm,712,1416.88
2019-03-04,GTIN-8711327313712,Magnum Vegan Classic 90ml,MON,MAR,sunny,warm,588,1758.12
2019-03-04,GTIN-8711327319714,Cornetto Classico 120ml,MON,MAR,sunny,warm,554,2210.46
2019-03-04,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,MON,MAR,sunny,warm,625,1868.75
2019-03-04,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,MON,MAR,sunny,warm,615,2453.85
2019-03-04,GTIN-8711918648606,Walls Feast Classic 90ml,MON,MAR,sunny,warm,676,1345.24
2019-03-04,GTIN-8720000066784,Solero Exotic 90ml,MON,MAR,sunny,warm,685,1363.15
2019-03-05,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,TUE,MAR,rainy,cool,111,165.39
2019-03-05,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,TUE,MAR,rainy,cool,96,143.04
2019-03-05,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,TUE,MAR,rainy,cool,93,231.57
2019-03-05,GTIN-8000920461235,Calippo Cola 105ml,TUE,MAR,rainy,cool,100,199
2019-03-05,GTIN-8711327313712,Magnum Vegan Classic 90ml,TUE,MAR,rainy,cool,67,200.33
2019-03-05,GTIN-8711327319714,Cornetto Classico 120ml,TUE,MAR,rainy,cool,75,299.25
2019-03-05,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,TUE,MAR,rainy,cool,86,257.14
2019-03-05,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,TUE,MAR,rainy,cool,90,359.1
2019-03-05,GTIN-8711918648606,Walls Feast Classic 90ml,TUE,MAR,rainy,cool,88,175.12
2019-03-05,GTIN-8720000066784,Solero Exotic 90ml,TUE,MAR,rainy,cool,69,137.31
2019-03-06,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,WED,MAR,sunny,warm,788,1174.12
2019-03-06,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,WED,MAR,sunny,warm,798,1189.02
2019-03-06,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,WED,MAR,sunny,warm,753,1874.97
2019-03-06,GTIN-8000920461235,Calippo Cola 105ml,WED,MAR,sunny,warm,720,1432.8
2019-03-06,GTIN-8711327313712,Magnum Vegan Classic 90ml,WED,MAR,sunny,warm,664,1985.36
2019-03-06,GTIN-8711327319714,Cornetto Classico 120ml,WED,MAR,sunny,warm,576,2298.24
2019-03-06,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,WED,MAR,sunny,warm,604,1805.96
2019-03-06,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,WED,MAR,sunny,warm,584,2330.16
2019-03-06,GTIN-8711918648606,Walls Feast Classic 90ml,WED,MAR,sunny,warm,657,1307.43
2019-03-06,GTIN-8720000066784,Solero Exotic 90ml,WED,MAR,sunny,warm,636,1265.64
2019-03-07,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,THU,MAR,sunny,warm,811,1208.39
2019-03-07,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,THU,MAR,sunny,warm,759,1130.91
2019-03-07,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,THU,MAR,sunny,warm,777,1934.73
2019-03-07,GTIN-8000920461235,Calippo Cola 105ml,THU,MAR,sunny,warm,671,1335.29
2019-03-07,GTIN-8711327313712,Magnum Vegan Classic 90ml,THU,MAR,sunny,warm,609,1820.91
2019-03-07,GTIN-8711327319714,Cornetto Classico 120ml,THU,MAR,sunny,warm,552,2202.48
2019-03-07,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,THU,MAR,sunny,warm,612,1829.88
2019-03-07,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,THU,MAR,sunny,warm,544,2170.56
2019-03-07,GTIN-8711918648606,Walls Feast Classic 90ml,THU,MAR,sunny,warm,695,1383.05
2019-03-07,GTIN-8720000066784,Solero Exotic 90ml,THU,MAR,sunny,warm,593,1180.07
2019-03-08,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,FRI,MAR,windy,cool,87,129.63
2019-03-08,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,FRI,MAR,windy,cool,114,169.86
2019-03-08,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,FRI,MAR,windy,cool,91,226.59
2019-03-08,GTIN-8000920461235,Calippo Cola 105ml,FRI,MAR,windy,cool,94,187.06
2019-03-08,GTIN-8711327313712,Magnum Vegan Classic 90ml,FRI,MAR,windy,cool,65,194.35
2019-03-08,GTIN-8711327319714,Cornetto Classico 120ml,FRI,MAR,windy,cool,56,223.44
2019-03-08,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,FRI,MAR,windy,cool,73,218.27
2019-03-08,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,FRI,MAR,windy,cool,78,311.22
2019-03-08,GTIN-8711918648606,Walls Feast Classic 90ml,FRI,MAR,windy,cool,85,169.15
2019-03-08,GTIN-8720000066784,Solero Exotic 90ml,FRI,MAR,windy,cool,76,151.24
2019-03-09,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,SAT,MAR,windy,warm,184,274.16
2019-03-09,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,SAT,MAR,windy,warm,196,292.04
2019-03-09,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,SAT,MAR,windy,warm,176,438.24
2019-03-09,GTIN-8000920461235,Calippo Cola 105ml,SAT,MAR,windy,warm,137,272.63
2019-03-09,GTIN-8711327313712,Magnum Vegan Classic 90ml,SAT,MAR,windy,warm,137,409.63
2019-03-09,GTIN-8711327319714,Cornetto Classico 120ml,SAT,MAR,windy,warm,139,554.61
2019-03-09,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,SAT,MAR,windy,warm,155,463.45
2019-03-09,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,SAT,MAR,windy,warm,122,486.78
2019-03-09,GTIN-8711918648606,Walls Feast Classic 90ml,SAT,MAR,windy,warm,195,388.05
2019-03-09,GTIN-8720000066784,Solero Exotic 90ml,SAT,MAR,windy,warm,147,292.53
2019-03-10,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,SUN,MAR,rainy,warm,199,296.51
2019-03-10,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,SUN,MAR,rainy,warm,199,296.51
2019-03-10,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,SUN,MAR,rainy,warm,221,550.29
2019-03-10,GTIN-8000920461235,Calippo Cola 105ml,SUN,MAR,rainy,warm,166,330.34
2019-03-10,GTIN-8711327313712,Magnum Vegan Classic 90ml,SUN,MAR,rainy,warm,130,388.7
2019-03-10,GTIN-8711327319714,Cornetto Classico 120ml,SUN,MAR,rainy,warm,121,482.79
2019-03-10,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,SUN,MAR,rainy,warm,124,370.76
2019-03-10,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,SUN,MAR,rainy,warm,157,626.43
2019-03-10,GTIN-8711918648606,Walls Feast Classic 90ml,SUN,MAR,rainy,warm,171,340.29
